review_id,product_id,product_name,rating,content,timestamp,is_verified,Polarity,Subjectivity,Sentiment,year_month,ym_str
R0000001,B0D6WD2QSQ,Beats Pill,4.0,"Amazing product, really impressed with the audio performance. Great build quality and it looks fantastic. Highly recommend!",2022-01-26,1,0.6000000000000001,0.818,Positive,2022-01,2022Q1
R0000002,B0D6WD2QSQ,Beats Pill,5.0,"Outstanding product for the price. The Bluetooth connectivity is seamless, battery life is impressive, and the sound is warm and rich.",2022-08-17,1,0.49583333333333335,0.6208333333333333,Positive,2022-08,2022Q3
R0000003,B0D6WD2QSQ,Beats Pill,5.0,"Amazing product, really impressed with the audio performance. Great build quality and it looks fantastic. Highly recommend!",2023-11-24,0,0.6000000000000001,0.818,Positive,2023-11,2023Q4
R0000004,B0D6WD2QSQ,Beats Pill,5.0,"Incredible value. Sound quality is superb, setup was effortless, and it handles outdoor conditions well. Highly satisfied.",2023-03-09,0,0.7,0.825,Positive,2023-03,2023Q1
R0000005,B0D6WD2QSQ,Beats Pill,3.0,The speaker works as described. Sound is adequate for the price. Nothing impressive but gets the job done.,2022-04-06,1,0.5777777777777778,0.5777777777777778,Positive,2022-04,2022Q2
R0000006,B0D6WD2QSQ,Beats Pill,3.0,"Decent product overall. Sound quality is average, not great but not bad. Bluetooth range is acceptable.",2023-06-02,0,0.06111111111111109,0.48055555555555557,Neutral,2023-06,2023Q2
R0000007,B0D6WD2QSQ,Beats Pill,2.0,"Do not buy this. Sound quality is horrible, far below what was advertised. Feels cheap and flimsy. Waste of money.",2024-01-04,1,-0.06,0.6199999999999999,Neutral,2024-01,2024Q1
R0000008,B0D6WD2QSQ,Beats Pill,5.0,"Outstanding product for the price. The Bluetooth connectivity is seamless, battery life is impressive, and the sound is warm and rich.",2023-04-05,1,0.49583333333333335,0.6208333333333333,Positive,2023-04,2023Q2
R0000009,B0D6WD2QSQ,Beats Pill,5.0,Absolutely love this speaker! The sound quality is incredible and the bass is perfect. Easy to connect and the battery lasts forever.,2024-02-17,1,0.5347222222222222,0.7055555555555556,Positive,2024-02,2024Q1
R0000010,B0D6WD2QSQ,Beats Pill,5.0,"Fantastic speaker! Excellent sound, strong bass, clear highs, and it connects instantly. The waterproofing is a great bonus.",2022-12-15,1,0.38541666666666663,0.6666666666666666,Positive,2022-12,2022Q4
R0000011,B0D6WD2QSQ,Beats Pill,1.0,Returned immediately. The battery drains in two hours and the charging cable broke on first use. Absolutely awful quality.,2022-08-09,1,-0.375,0.6666666666666666,Negative,2022-08,2022Q3
R0000012,B0D6WD2QSQ,Beats Pill,5.0,"Amazing product, really impressed with the audio performance. Great build quality and it looks fantastic. Highly recommend!",2022-04-05,1,0.6000000000000001,0.818,Positive,2022-04,2022Q2
R0000013,B0D6WD2QSQ,Beats Pill,5.0,"Amazing product, really impressed with the audio performance. Great build quality and it looks fantastic. Highly recommend!",2023-01-03,1,0.6000000000000001,0.818,Positive,2023-01,2023Q1
R0000014,B0D6WD2QSQ,Beats Pill,4.0,"Incredible value. Sound quality is superb, setup was effortless, and it handles outdoor conditions well. Highly satisfied.",2022-09-28,0,0.7,0.825,Positive,2022-09,2022Q3
R0000015,B0D6WD2QSQ,Beats Pill,3.0,Average product. The audio is fine for casual listening. Build quality seems reasonable. Does the job.,2023-07-04,0,-0.008333333333333318,0.5916666666666667,Neutral,2023-07,2023Q3
R0000016,B0D6WD2QSQ,Beats Pill,3.0,Average product. The audio is fine for casual listening. Build quality seems reasonable. Does the job.,2022-03-22,1,-0.008333333333333318,0.5916666666666667,Neutral,2022-03,2022Q1
R0000017,B0D6WD2QSQ,Beats Pill,4.0,"Incredible value. Sound quality is superb, setup was effortless, and it handles outdoor conditions well. Highly satisfied.",2024-06-01,1,0.7,0.825,Positive,2024-06,2024Q2
R0000018,B0D6WD2QSQ,Beats Pill,5.0,"Incredible value. Sound quality is superb, setup was effortless, and it handles outdoor conditions well. Highly satisfied.",2022-07-16,0,0.7,0.825,Positive,2022-07,2022Q3
